"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gxs"
"remanei_genome_00007509",40.9139575114607,1.13955909357123,0.388861268198841,2.93050294993259,0.00338413780554426,0.00879590248192095,1
"remanei_genome_00007497",34.6336866966848,2.55399132401217,0.446139668644674,5.72464522549839,1.03650110877253e-08,7.88252695066517e-08,1
"remanei_genome_00007541",17.8380830670229,0.299812868356348,0.47925150833764,0.625585654172058,0.531586750777732,0.616680675101851,0
"remanei_genome_00007512",48.7742717361698,1.22304928218333,0.387733746109137,3.15435345635114,0.00160854139669024,0.00467387500170371,1
"remanei_genome_00007517",42.0129419694428,2.72351535747417,0.452169815575167,6.02321354425177,1.70987603439263e-09,1.46289394053591e-08,1
"remanei_genome_00007525",5.18658725289599,0.297100596680253,0.871439443305863,0.340930857516826,0.733155634053605,0.782710347620487,0
"remanei_genome_00019897",1.28229015441845,1.66745286213946,2.26669481143635,0.735631834390109,0.461954783580499,0.559065121189759,0
"remanei_genome_00014074",126.359552253913,-1.79431435069605,0.264474171288002,-6.78445967694181,1.1652177324714e-11,1.38033485231227e-10,-1
"remanei_genome_00014070",969.08514430018,-1.21319412466776,0.221445983065333,-5.47851041538122,4.28921344603426e-08,2.81080370506075e-07,-1
"remanei_genome_00014142",68.0472445365478,2.21694013572967,0.379629018680012,5.83975414587134,5.22779112446353e-09,4.07635358565764e-08,1
"remanei_genome_00014175",108.896110373096,-0.8511311394821,0.471181556635136,-1.80637617813463,0.0708595999888024,0.118291364750955,0
"remanei_genome_00014208",17.8984103513382,-0.68212799764291,0.589202388672437,-1.15771424345351,0.246980669420115,0.33840049747896,0
"remanei_genome_00014250",63.585622374556,-0.778539616075372,0.337033994878877,-2.30997355728215,0.0208896181203536,0.042468662581313,-1
"remanei_genome_00014333",1467.696414578,-2.06862746515531,0.285941230686831,-7.23444975104313,4.67420361762842e-13,7.57713007489238e-12,-1
"remanei_genome_00014365",3.97662785219602,1.54898025142856,1.34031617376427,1.15568272751515,0.247810955713675,0.33840049747896,0
"remanei_genome_00014489",27.8085030861066,-1.37888686791868,0.570519930316723,-2.41689517691904,0.015653524274069,0.0335978081980017,-1
"remanei_genome_00014504",18820.9793786674,-1.36827690487921,0.20715558300205,-6.60506892959612,3.97332427675959e-11,4.2199444042826e-10,-1
"remanei_genome_00014558",1.60717510242562,1.89841849543956,1.31141254456948,1.44761349378642,0.147725175207684,0.218746894057532,0
"remanei_genome_00014580",2299.73005725689,-0.424171380870216,0.259093041588499,-1.63713922330612,0.101601382624171,0.161722097406949,0
"remanei_genome_00014597",1.28599067299508,-1.35479685585299,1.38918028216113,-0.97524912586965,0.329436699207903,0.428128706143604,0
