"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mxf"
"remanei_genome_00014629",24.555234318011,7.582430795243,0.961065448795716,7.88960918816125,3.03134312371719e-15,2.62567808804328e-14,1
"remanei_genome_00014673",7.10158200714605,-2.99633574376654,0.999706433466949,-2.99721562596666,0.00272457924294001,0.00694708733373015,-1
"remanei_genome_00014663",106.17385815287,6.59171032361624,0.682993814110911,9.65120062206861,4.85835414734179e-22,7.74304972843265e-21,1
"remanei_genome_00014743",5.18654433758697,-0.373807828201821,0.760760854034662,-0.491360492879394,0.62317150153295,0.710982189456797,0
"remanei_genome_00014808",8.88592098516002,1.89587869377201,0.707421931231127,2.67998292118625,0.00736259165621166,0.0171405789941054,1
"remanei_genome_00014827",748.523246572094,-0.978727473256935,0.254038363003052,-3.85267587811207,0.000116834000117165,0.000367995861331606,-1
"remanei_genome_00014836",526.589908344561,-0.900898178630169,0.213971591116914,-4.2103635063307,2.54960124766269e-05,8.78195985306038e-05,-1
"remanei_genome_00014851",1.38272804981446,2.30797531467845,1.89303569872259,1.21919270525953,0.222771060007703,0.330116801163452,0
"remanei_genome_00014911",1.7588433013591,-0.243622422260726,1.38546999200212,-0.175840995234167,0.860418861856914,0.903363118776689,0
"remanei_genome_00015083",2.47285042784891,-1.23753258875783,1.43903541728365,-0.859973683687245,0.389803549179758,0.5019118189718,0
"remanei_genome_00015095",15611.30844285,-1.5357175432596,0.274724904766747,-5.59001938525916,2.27044264045395e-08,1.12377371027511e-07,-1
"remanei_genome_00015112",2.20651566687055,4.60892890671122,1.59822589985282,2.88377813620443,0.00392935481142266,0.00976535858197445,1
"remanei_genome_00015255",6.58887828758106,2.74462190736118,1.28020324992769,2.14389543810032,0.0320412658132846,0.0637577890676507,0
"remanei_genome_00015380",8.9913068127188,1.41660221164482,0.566212771903482,2.50189024681043,0.0123532213893208,0.0269483236974442,1
"remanei_genome_00015471",1104.25857324619,-0.457781350410491,0.444269232962819,-1.03041425434204,0.302815584671486,0.412866618915522,0
"remanei_genome_00015505",56.5325431695376,-1.91022417457329,0.435922682269889,-4.38202518994097,1.17581210526365e-05,4.24879343558459e-05,-1
"remanei_genome_00015622",1908.9767176217,6.03444998120956,0.571545327129374,10.5581302038073,4.65848497230491e-26,1.01623986988429e-24,1
"remanei_genome_00015656",8469.49422335063,-2.30622223686282,0.201174700219349,-11.4637786677363,2.00569108749139e-30,6.21764237122329e-29,-1
"remanei_genome_00015710",10.3283288049379,4.0976991362973,0.896394114883225,4.57131418899501,4.84674944969933e-06,1.89055326216749e-05,1
"remanei_genome_00015831",22390.3512610263,5.84779527710247,0.768313524521942,7.61120960449196,2.71542437796069e-14,2.05049353669083e-13,1
"remanei_genome_00015981",1.71167366099787,0.646462444999621,1.187751905064,0.544273970215006,0.586252956352287,0.681070988740625,0
"remanei_genome_00016025",579.711857334095,0.270546302442973,0.31525264716195,0.85818883640964,0.390788199367441,0.5019118189718,0
"remanei_genome_00016063",172.12548441847,1.35763616410452,0.30531964626341,4.44660597743925,8.72376387855092e-06,3.27280058883216e-05,1
"remanei_genome_00016119",13.36480049004,2.77764747225046,0.708363133283117,3.92121969896519,8.81018904888454e-05,0.00028202181248875,1
"remanei_genome_00016206",81.1465174383809,1.71925918320685,0.340585370889332,5.04795370017668,4.46567330190325e-07,1.93403056972133e-06,1
"remanei_genome_00016216",3015.60151400915,-0.393724441025315,0.383546178677624,-1.0265372539567,0.304638412875462,0.41343784604527,0
"remanei_genome_00016261",802.570294375146,2.40218529341249,0.448822104570933,5.35219916521034,8.6891684471152e-08,4.02985843728413e-07,1
"remanei_genome_00016301",4.00131198462777,-0.0859440495184867,1.08595941985774,-0.0791411243799012,0.936920373550623,0.966455516674811,0
"remanei_genome_00016315",7.53032112607489,3.54577468270943,0.838911435757781,4.22663767779796,2.37209157418031e-05,8.26723039758701e-05,1
"remanei_genome_00016344",37.8659361155932,3.06847425310296,0.744495309235247,4.12154947793415,3.76332621581938e-05,0.000128127117983677,1
"remanei_genome_00016366",42.3195098628745,0.0798000739869112,0.318220190699057,0.250769989835053,0.801991944962721,0.860424873557454,0
"remanei_genome_00016406",2.17183397803368,-0.365998268323149,1.23722922992491,-0.295820903249563,0.767366858594675,0.833909741166538,0
"remanei_genome_00016461",1.96121450467996,1.07513145297291,1.56106529258002,0.688716518189962,0.491001679257188,0.590204059352007,0
"remanei_genome_00016491",794.561837793087,-0.320520108928589,0.514711054532063,-0.622718525484133,0.533469506652795,0.63222040124446,0
"remanei_genome_00016517",11.0592394306298,4.12690248699244,0.919624176471331,4.48759677331198,7.20310957511158e-06,2.7683265041919e-05,1
"remanei_genome_00016519",18.3304184937732,0.479478372276746,0.624673021599209,0.767566960150202,0.442744497745407,0.553665624569098,0
"remanei_genome_00016523",1.65148993271433,0.00916703749352849,1.63601140134704,0.00560328460179474,0.995529249121,0.995529249121,0
"remanei_genome_00016518",18.7649884584013,0.913598170616935,0.93741924862431,0.974588661324874,0.329764340263041,0.440433551961295,0
